N, s_up, s_down, log10(N), log10(|s_up-s_down|/s_down)
1,1,1,0,-inf
10,2.92897,2.92897,1,-inf
100,5.18738,5.18738,2,-15.7664
1000,7.48547,7.48547,3,-15.4486
10000,9.78761,9.78761,4,-14.4189
100000,12.0901,12.0901,5,-14.2201
1e+06,14.3927,14.3927,6,-13.2642
1e+07,16.6953,16.6953,7,-12.7924
1e+08,18.9979,18.9979,8,-13.3285
1e+09,21.3005,21.3005,9,-12.9479
1e+10,23.6031,23.6031,10,-11.3346
